"max_temperature" "city_name" "mean"
"231" 15.4 "Brisbane" 0.2
"232" 15.4 "Canberra" 3.15
"233" 15.4 "Melbourne" 4.88507462686567
"234" 15.4 "Perth" 7.06666666666667
"235" 15.4 "Sydney" 10.4375
"236" 15.5 "Brisbane" 0
"237" 15.5 "Canberra" 2.88888888888889
"238" 15.5 "Melbourne" 4.31538461538462
"239" 15.5 "Perth" 7.45882352941176
"240" 15.5 "Sydney" 14.48
"241" 15.6 "Canberra" 0.46
"242" 15.6 "Melbourne" 4.49491525423729
"243" 15.6 "Perth" 12.9892857142857
"244" 15.6 "Sydney" 14.8733333333333
"245" 15.7 "Brisbane" 7.45
"246" 15.7 "Canberra" 3.42608695652174
"247" 15.7 "Melbourne" 5.22758620689655
"248" 15.7 "Perth" 8.97209302325581
"249" 15.7 "Sydney" 11.8758620689655
"250" 15.8 "Brisbane" 1.5
"251" 15.8 "Canberra" 0.1
"252" 15.8 "Melbourne" 6.3685393258427
"253" 15.8 "Perth" 8.93461538461538
"254" 15.8 "Sydney" 9.395
"255" 15.9 "Canberra" 1.875
"256" 15.9 "Melbourne" 5.62769230769231
"257" 15.9 "Perth" 7.78461538461538
"258" 15.9 "Sydney" 9.50869565217391
"259" 16 "Canberra" 4.95294117647059
"260" 16 "Melbourne" 3.83225806451613
"261" 16 "Perth" 13.0103448275862
"262" 16 "Sydney" 12.5645161290323
"263" 16.1 "Brisbane" 20.1
"264" 16.1 "Canberra" 0.6125
"265" 16.1 "Melbourne" 4.54029850746269
"266" 16.1 "Perth" 11.0081081081081
"267" 16.1 "Sydney" 11.2821428571429
"268" 16.2 "Brisbane" 6.92
"269" 16.2 "Canberra" 2.12727272727273
"270" 16.2 "Melbourne" 4.94418604651163
"271" 16.2 "Perth" 9.45909090909091
"272" 16.2 "Sydney" 6.47608695652174
"273" 16.3 "Brisbane" 15.5
"274" 16.3 "Canberra" 0.08
"275" 16.3 "Melbourne" 7.61449275362319
"276" 16.3 "Perth" 9.12962962962963
"277" 16.3 "Sydney" 6.52121212121212
"278" 16.4 "Brisbane" 4.95
"279" 16.4 "Canberra" 0.815384615384615
"280" 16.4 "Melbourne" 4.92222222222222
"281" 16.4 "Perth" 8.47333333333333
"282" 16.4 "Sydney" 12.168085106383
"283" 16.5 "Brisbane" 6.9
"284" 16.5 "Canberra" 0.8
"285" 16.5 "Melbourne" 4.48805970149254
"286" 16.5 "Perth" 7.87209302325581
"287" 16.5 "Sydney" 11.1452380952381
"288" 16.6 "Brisbane" 13
"289" 16.6 "Canberra" 4.51666666666667
"290" 16.6 "Melbourne" 3.628
"291" 16.6 "Perth" 11.396
"292" 16.6 "Sydney" 9.35384615384615
"293" 16.7 "Brisbane" 9.74285714285714
"294" 16.7 "Canberra" 1.56363636363636
"295" 16.7 "Melbourne" 3.43018867924528
"296" 16.7 "Perth" 7.51162790697674
"297" 16.7 "Sydney" 13.3675
"298" 16.8 "Brisbane" 8
"299" 16.8 "Canberra" 0.4
"300" 16.8 "Melbourne" 3.6948717948718
"301" 16.8 "Perth" 8.49411764705882
"302" 16.8 "Sydney" 8.48983050847458
"303" 16.9 "Brisbane" 5.76
"304" 16.9 "Canberra" 0.383333333333333
"305" 16.9 "Melbourne" 5.50327868852459
"306" 16.9 "Perth" 9.78125
"307" 16.9 "Sydney" 9.93833333333333
"308" 17 "Brisbane" 2.92
"309" 17 "Canberra" 0.74
"310" 17 "Melbourne" 4.75810810810811
"311" 17 "Perth" 10.6534482758621
"312" 17 "Sydney" 7.59090909090909
"313" 17.1 "Brisbane" 7.15
"314" 17.1 "Canberra" 3.47692307692308
"315" 17.1 "Melbourne" 7.53877551020408
"316" 17.1 "Perth" 7.936
"317" 17.1 "Sydney" 12.35
"318" 17.2 "Brisbane" 5.53333333333333
"319" 17.2 "Canberra" 0.675
"320" 17.2 "Melbourne" 3.73870967741935
"321" 17.2 "Perth" 9.26078431372549
"322" 17.2 "Sydney" 7.97428571428571
"323" 17.3 "Brisbane" 6.44285714285714
"324" 17.3 "Canberra" 5.425
"325" 17.3 "Melbourne" 5.31086956521739
"326" 17.3 "Perth" 10.6673469387755
"327" 17.3 "Sydney" 7.80980392156863
"328" 17.4 "Brisbane" 4.225
"329" 17.4 "Canberra" 4.23333333333333
"330" 17.4 "Melbourne" 4.12619047619048
"331" 17.4 "Perth" 9.84666666666667
"332" 17.4 "Sydney" 7.56607142857143
"333" 17.5 "Brisbane" 2.95
"334" 17.5 "Canberra" 0.0222222222222222
"335" 17.5 "Melbourne" 4.09672131147541
"336" 17.5 "Perth" 6.70789473684211
"337" 17.5 "Sydney" 9.61607142857143
"338" 17.6 "Brisbane" 2.33333333333333
"339" 17.6 "Canberra" 1.75714285714286
"340" 17.6 "Melbourne" 3.83673469387755
"341" 17.6 "Perth" 6.16463414634146
"342" 17.6 "Sydney" 4.4
"343" 17.7 "Brisbane" 11.9909090909091
"344" 17.7 "Canberra" 4.09090909090909
"345" 17.7 "Melbourne" 4.46944444444444
"346" 17.7 "Perth" 7.96333333333333
"347" 17.7 "Sydney" 9.26545454545455
"348" 17.8 "Brisbane" 4.58
"349" 17.8 "Canberra" 4.475
"350" 17.8 "Melbourne" 4.26949152542373
"351" 17.8 "Perth" 8.7031746031746
"352" 17.8 "Sydney" 7.95531914893617
"353" 17.9 "Brisbane" 2.57777777777778
"354" 17.9 "Canberra" 1.65
"355" 17.9 "Melbourne" 3.98
"356" 17.9 "Perth" 9.684375
"357" 17.9 "Sydney" 8.98965517241379
"358" 18 "Brisbane" 17.8833333333333
"359" 18 "Canberra" 2.28571428571429
"360" 18 "Melbourne" 6.12439024390244
"361" 18 "Perth" 6.81494252873563
"362" 18 "Sydney" 10.651724137931
"363" 18.1 "Brisbane" 6.57142857142857
"364" 18.1 "Canberra" 1.95555555555556
"365" 18.1 "Melbourne" 5.5377358490566
"366" 18.1 "Perth" 6.55294117647059
"367" 18.1 "Sydney" 10.4491228070175
"368" 18.2 "Brisbane" 3.8
"369" 18.2 "Canberra" 5.11428571428571
"370" 18.2 "Melbourne" 5.76785714285714
"371" 18.2 "Perth" 6.9252427184466
"372" 18.2 "Sydney" 4.914
"373" 18.3 "Brisbane" 21.2909090909091
"374" 18.3 "Canberra" 1.675
"375" 18.3 "Melbourne" 5.19772727272727
"376" 18.3 "Perth" 6.31044776119403
"377" 18.3 "Sydney" 8.18611111111111
"378" 18.4 "Brisbane" 5.18181818181818
"379" 18.4 "Canberra" 0.0666666666666667
"380" 18.4 "Melbourne" 3.55510204081633
"381" 18.4 "Perth" 7.21931818181818
"382" 18.4 "Sydney" 8.51818181818182
"383" 18.5 "Brisbane" 8.65454545454545
"384" 18.5 "Canberra" 1.025
"385" 18.5 "Melbourne" 4.9
"386" 18.5 "Perth" 7.08354430379747
"387" 18.5 "Sydney" 6.49420289855072
"388" 18.6 "Brisbane" 9.26923076923077
"389" 18.6 "Canberra" 2.825
"390" 18.6 "Melbourne" 4.21935483870968
"391" 18.6 "Perth" 6.60422535211268
"392" 18.6 "Sydney" 10.3376811594203
"393" 18.7 "Brisbane" 3.385
"394" 18.7 "Canberra" 0.0666666666666667
"395" 18.7 "Melbourne" 3.99411764705882
"396" 18.7 "Perth" 7.24426229508197
"397" 18.7 "Sydney" 8.27058823529412
"398" 18.8 "Brisbane" 9.55714285714286
"399" 18.8 "Canberra" 1.45
"400" 18.8 "Melbourne" 4.57586206896552
"401" 18.8 "Perth" 9.61594202898551
"402" 18.8 "Sydney" 5.55081967213115
"403" 18.9 "Brisbane" 16.90625
"404" 18.9 "Canberra" 1.55
"405" 18.9 "Melbourne" 9.89473684210526
"406" 18.9 "Perth" 6.22089552238806
"407" 18.9 "Sydney" 6.50327868852459
"408" 19 "Brisbane" 3.47142857142857
"409" 19 "Canberra" 3.44615384615385
"410" 19 "Melbourne" 3.54905660377359
"411" 19 "Perth" 7.51222222222222
"412" 19 "Sydney" 9.76823529411765
"413" 19.1 "Brisbane" 7.78888888888889
"414" 19.1 "Canberra" 0.527272727272727
"415" 19.1 "Melbourne" 3.91666666666667
"416" 19.1 "Perth" 7.078125
"417" 19.1 "Sydney" 4.621875
"418" 19.2 "Brisbane" 6.33636363636364
"419" 19.2 "Canberra" 1.61538461538462
"420" 19.2 "Melbourne" 4.63958333333333
"421" 19.2 "Perth" 5.68571428571429
"422" 19.2 "Sydney" 9.16101694915254
"423" 19.3 "Brisbane" 12.4941176470588
"424" 19.3 "Canberra" 4.08571428571429
"425" 19.3 "Melbourne" 3.52631578947368
"426" 19.3 "Perth" 5.29052631578947
"427" 19.3 "Sydney" 5.96144578313253
"428" 19.4 "Brisbane" 5.071875
"429" 19.4 "Canberra" 1.05
"430" 19.4 "Melbourne" 7.13658536585366
"431" 19.4 "Perth" 7.25876288659794
"432" 19.4 "Sydney" 5.39268292682927
"433" 19.5 "Brisbane" 6.65555555555556
"434" 19.5 "Canberra" 5.32
"435" 19.5 "Melbourne" 5.60344827586207
"436" 19.5 "Perth" 5.19230769230769
"437" 19.5 "Sydney" 7.88636363636364
"438" 19.6 "Brisbane" 13.9230769230769
"439" 19.6 "Canberra" 4.88
"440" 19.6 "Melbourne" 8.87058823529412
"441" 19.6 "Perth" 6.72906976744186
"442" 19.6 "Sydney" 4.34666666666667
"443" 19.7 "Brisbane" 4.79142857142857
"444" 19.7 "Canberra" 0.85
"445" 19.7 "Melbourne" 5.935
"446" 19.7 "Perth" 7.28607594936709
"447" 19.7 "Sydney" 7.20819672131148
"448" 19.8 "Brisbane" 3.18181818181818
"449" 19.8 "Canberra" 2.92307692307692
"450" 19.8 "Melbourne" 4.36290322580645
"451" 19.8 "Perth" 5.17246376811594
"452" 19.8 "Sydney" 5.8640625
"453" 19.9 "Brisbane" 6.69722222222222
"454" 19.9 "Canberra" 4.46
"455" 19.9 "Melbourne" 3.26388888888889
"456" 19.9 "Perth" 5.6640625
"457" 19.9 "Sydney" 7.22564102564103
"458" 20 "Brisbane" 4.89032258064516
"459" 20 "Canberra" 0.694736842105263
"460" 20 "Melbourne" 6.33571428571429
"461" 20 "Perth" 4.844
"462" 20 "Sydney" 5.53823529411765
"463" 20.1 "Brisbane" 2.81851851851852
"464" 20.1 "Canberra" 1.10909090909091
"465" 20.1 "Melbourne" 3.57272727272727
"466" 20.1 "Perth" 5.53932584269663
"467" 20.1 "Sydney" 5.55492957746479
"468" 20.2 "Brisbane" 3.47222222222222
"469" 20.2 "Canberra" 2.48
"470" 20.2 "Melbourne" 7.19655172413793
"471" 20.2 "Perth" 5.43975903614458
"472" 20.2 "Sydney" 5.65064935064935
"473" 20.3 "Brisbane" 10.5714285714286
"474" 20.3 "Canberra" 1.38333333333333
"475" 20.3 "Melbourne" 5.83333333333333
"476" 20.3 "Perth" 4.37333333333333
"477" 20.3 "Sydney" 6.27538461538462
"478" 20.4 "Brisbane" 3.81111111111111
"479" 20.4 "Canberra" 2.38181818181818
"480" 20.4 "Melbourne" 3.12777777777778
"481" 20.4 "Perth" 7.1047619047619
"482" 20.4 "Sydney" 7.18928571428571
"483" 20.5 "Brisbane" 3.88833333333333
"484" 20.5 "Canberra" 0.15
"485" 20.5 "Melbourne" 5.47222222222222
"486" 20.5 "Perth" 3.89411764705882
"487" 20.5 "Sydney" 8.43258426966292
