"min_temperature" "city_name" "mean"
"248" 5 "Canberra" 0.323076923076923
"249" 5 "Melbourne" 2.22727272727273
"250" 5 "Perth" 4.09230769230769
"251" 5 "Sydney" 9.4
"252" 5.1 "Brisbane" 0
"253" 5.1 "Canberra" 0.822222222222222
"254" 5.1 "Melbourne" 5.31176470588235
"255" 5.1 "Perth" 2.91666666666667
"256" 5.1 "Sydney" 0.1
"257" 5.2 "Brisbane" 0.0285714285714286
"258" 5.2 "Canberra" 1.52380952380952
"259" 5.2 "Melbourne" 4.28571428571429
"260" 5.2 "Perth" 3.10833333333333
"261" 5.2 "Sydney" 0
"262" 5.3 "Brisbane" 0.444444444444444
"263" 5.3 "Canberra" 1.76923076923077
"264" 5.3 "Melbourne" 2.61538461538462
"265" 5.3 "Perth" 5.32222222222222
"266" 5.3 "Sydney" 0.45
"267" 5.4 "Brisbane" 0.236363636363636
"268" 5.4 "Canberra" 2.46666666666667
"269" 5.4 "Melbourne" 2.87142857142857
"270" 5.4 "Perth" 4.08571428571429
"271" 5.4 "Sydney" 0.866666666666667
"272" 5.5 "Brisbane" 0
"273" 5.5 "Canberra" 1.56190476190476
"274" 5.5 "Melbourne" 4.31363636363636
"275" 5.5 "Perth" 3.18461538461538
"276" 5.5 "Sydney" 1.76
"277" 5.6 "Brisbane" 0
"278" 5.6 "Canberra" 0.373333333333333
"279" 5.6 "Melbourne" 4.21904761904762
"280" 5.6 "Perth" 4.55
"281" 5.6 "Sydney" 0.2
"282" 5.7 "Brisbane" 0
"283" 5.7 "Canberra" 1.65882352941176
"284" 5.7 "Melbourne" 2.54285714285714
"285" 5.7 "Perth" 4.85
"286" 5.7 "Sydney" 7
"287" 5.8 "Brisbane" 0.025
"288" 5.8 "Canberra" 1.25454545454545
"289" 5.8 "Melbourne" 3.46296296296296
"290" 5.8 "Perth" 4.33333333333333
"291" 5.8 "Sydney" 0.288888888888889
"292" 5.9 "Brisbane" 0.454545454545455
"293" 5.9 "Canberra" 1.36666666666667
"294" 5.9 "Melbourne" 4.81666666666667
"295" 5.9 "Perth" 3.96111111111111
"296" 5.9 "Sydney" 7.54
"297" 6 "Brisbane" 0
"298" 6 "Canberra" 0.447058823529412
"299" 6 "Melbourne" 3.56333333333333
"300" 6 "Perth" 4.96551724137931
"301" 6 "Sydney" 0.314285714285714
"302" 6.1 "Brisbane" 0.025
"303" 6.1 "Canberra" 3.83076923076923
"304" 6.1 "Melbourne" 4.1
"305" 6.1 "Perth" 6.08571428571429
"306" 6.1 "Sydney" 1.82
"307" 6.2 "Brisbane" 0
"308" 6.2 "Canberra" 3.13846153846154
"309" 6.2 "Melbourne" 2.74390243902439
"310" 6.2 "Perth" 3.41739130434783
"311" 6.2 "Sydney" 4.2
"312" 6.3 "Brisbane" 0
"313" 6.3 "Canberra" 5.875
"314" 6.3 "Melbourne" 3.81020408163265
"315" 6.3 "Perth" 5.196
"316" 6.3 "Sydney" 8.45
"317" 6.4 "Brisbane" 1.88
"318" 6.4 "Canberra" 6.11111111111111
"319" 6.4 "Melbourne" 3.92608695652174
"320" 6.4 "Perth" 5.66111111111111
"321" 6.4 "Sydney" 0.44375
"322" 6.5 "Brisbane" 0.1
"323" 6.5 "Canberra" 2.29411764705882
"324" 6.5 "Melbourne" 4.51052631578947
"325" 6.5 "Perth" 6.93157894736842
"326" 6.5 "Sydney" 0
"327" 6.6 "Brisbane" 0.0266666666666667
"328" 6.6 "Canberra" 1.26315789473684
"329" 6.6 "Melbourne" 3.51052631578947
"330" 6.6 "Perth" 3.628125
"331" 6.6 "Sydney" 1.27272727272727
"332" 6.7 "Brisbane" 0.584615384615385
"333" 6.7 "Canberra" 2.57333333333333
"334" 6.7 "Melbourne" 3.87567567567568
"335" 6.7 "Perth" 6.37407407407407
"336" 6.7 "Sydney" 0.1
"337" 6.8 "Brisbane" 0.753846153846154
"338" 6.8 "Canberra" 1.95294117647059
"339" 6.8 "Melbourne" 4.00512820512821
"340" 6.8 "Perth" 6.15853658536585
"341" 6.8 "Sydney" 4.82777777777778
"342" 6.9 "Brisbane" 0.3
"343" 6.9 "Canberra" 2.78181818181818
"344" 6.9 "Melbourne" 3.4625
"345" 6.9 "Perth" 5.66545454545455
"346" 6.9 "Sydney" 7.27727272727273
"347" 7 "Brisbane" 0.469230769230769
"348" 7 "Canberra" 0.383333333333333
"349" 7 "Melbourne" 4.65853658536585
"350" 7 "Perth" 5.97021276595745
"351" 7 "Sydney" 2
"352" 7.1 "Brisbane" 0.02
"353" 7.1 "Canberra" 2.8
"354" 7.1 "Melbourne" 3.874
"355" 7.1 "Perth" 6.0025
"356" 7.1 "Sydney" 3.65333333333333
"357" 7.2 "Brisbane" 0.1125
"358" 7.2 "Canberra" 3.48
"359" 7.2 "Melbourne" 2.471875
"360" 7.2 "Perth" 5.33055555555556
"361" 7.2 "Sydney" 6.07692307692308
"362" 7.3 "Brisbane" 1.35555555555556
"363" 7.3 "Canberra" 1.27692307692308
"364" 7.3 "Melbourne" 4.84375
"365" 7.3 "Perth" 5.57142857142857
"366" 7.3 "Sydney" 2.58518518518519
"367" 7.4 "Brisbane" 0.264
"368" 7.4 "Canberra" 4.41111111111111
"369" 7.4 "Melbourne" 4.84833333333333
"370" 7.4 "Perth" 6.16444444444444
"371" 7.4 "Sydney" 1.91212121212121
"372" 7.5 "Brisbane" 0.378947368421053
"373" 7.5 "Canberra" 0.266666666666667
"374" 7.5 "Melbourne" 4.1887323943662
"375" 7.5 "Perth" 6.01136363636364
"376" 7.5 "Sydney" 4.68965517241379
"377" 7.6 "Brisbane" 0.861538461538462
"378" 7.6 "Canberra" 1.98947368421053
"379" 7.6 "Melbourne" 2.96346153846154
"380" 7.6 "Perth" 5.0258064516129
"381" 7.6 "Sydney" 5.23888888888889
"382" 7.7 "Brisbane" 0
"383" 7.7 "Canberra" 4.96666666666667
"384" 7.7 "Melbourne" 4.17169811320755
"385" 7.7 "Perth" 5.68709677419355
"386" 7.7 "Sydney" 4.88888888888889
"387" 7.8 "Brisbane" 0.356521739130435
"388" 7.8 "Canberra" 1.8
"389" 7.8 "Melbourne" 3.94814814814815
"390" 7.8 "Perth" 6.36315789473684
"391" 7.8 "Sydney" 2.78928571428571
"392" 7.9 "Brisbane" 0.721739130434783
"393" 7.9 "Canberra" 0.842857142857143
"394" 7.9 "Melbourne" 4.10428571428571
"395" 7.9 "Perth" 4.153125
"396" 7.9 "Sydney" 3.21944444444444
"397" 8 "Brisbane" 0
"398" 8 "Canberra" 0.25
"399" 8 "Melbourne" 4.165625
"400" 8 "Perth" 6.12758620689655
"401" 8 "Sydney" 5.004
"402" 8.1 "Brisbane" 0.883333333333333
"403" 8.1 "Canberra" 3.04285714285714
"404" 8.1 "Melbourne" 3.47692307692308
"405" 8.1 "Perth" 6.69565217391304
"406" 8.1 "Sydney" 2.17407407407407
"407" 8.2 "Brisbane" 2.21739130434783
"408" 8.2 "Canberra" 4.49230769230769
"409" 8.2 "Melbourne" 4.04387755102041
"410" 8.2 "Perth" 5.41875
"411" 8.2 "Sydney" 2.28780487804878
"412" 8.3 "Brisbane" 0.636363636363636
"413" 8.3 "Canberra" 1.48181818181818
"414" 8.3 "Melbourne" 4.50851063829787
"415" 8.3 "Perth" 9.37297297297297
"416" 8.3 "Sydney" 3.6
"417" 8.4 "Brisbane" 0.364285714285714
